"N_chromis";"N_goby";"N_wrasse";"BodyCond";"BodyCond100";"Group"
"1";2.82832389201392;1.88554926134261;0.28612684664347;0.01165;1.165;2
"2";0.0722222222222222;0.120689655172414;0.807088122605364;0.01773;1.773;1
"3";0.144444444444444;0.203473328885029;1.65208222667053;0.0155;1.55;1
"4";2.52939590942001;0.274519052838329;0.196085037741664;0.01256;1.256;1
"5";1.65118857905424;0.203473328885029;0.145338092060735;0.01416;1.416;1
"6";4;3;1;0.01205;1.205;2
"7";1.65118857905424;0.203473328885029;0.145338092060735;0.01177;1.177;1
"8";2.52939590942001;0.274519052838329;0.196085037741664;0.01536;1.536;1
"9";1.86927664150556;0.934638320752779;0.196085037741664;0.01496;1.496;2
"10";2.74545454545455;0.339393939393939;0.915151515151515;0.01371;1.371;1
"11";0.793103448275862;0.120689655172414;0.0862068965517241;0.01485;1.485;1
"12";0.793103448275862;0.120689655172414;0.0862068965517241;0.01349;1.349;1
"13";2.52939590942001;0.274519052838329;0.196085037741664;0.01367;1.367;1
"14";0.793103448275862;0.120689655172414;0.0862068965517241;0.01412;1.412;1
"15";0.927330953969632;0.927330953969632;0.145338092060735;0.01108;1.108;2
"16";0.144444444444444;1.71021746349482;0.145338092060735;0.01384;1.384;2
"17";1;4;4;0.01222;1.222;2
"18";1.65118857905424;0.203473328885029;0.145338092060735;0.01541;1.541;1
"19";1.86927664150556;0.934638320752779;0.196085037741664;0.01138;1.138;2
"20";0.898263335557485;0.203473328885029;0.898263335557485;0.01589;1.589;1
